,property_link
231,https://www.abodo.com/ann-arbor-mi/414-lawrence-st-apt-7
232,https://www.abodo.com/ann-arbor-mi/508-lawrence-st-apt-5
233,https://www.abodo.com/ann-arbor-mi/722-e-kingsley-st
234,https://www.abodo.com/ann-arbor-mi/226-packard
235,https://www.abodo.com/ann-arbor-mi/507-linden-st
236,https://www.abodo.com/ann-arbor-mi/503-hill
237,https://www.abodo.com/ann-arbor-mi/809-mary
238,https://www.abodo.com/ann-arbor-mi/214-e-washington-st
239,https://www.abodo.com/ann-arbor-mi/305-packard
240,https://www.abodo.com/ann-arbor-mi/1016-e-university-ave
241,https://www.abodo.com/ann-arbor-mi/712-e-kingsley-st
242,https://www.abodo.com/ann-arbor-mi/508-lawrence-st-apt-3
243,https://www.abodo.com/ann-arbor-mi/414-lawrence-st-apt-2
244,https://www.abodo.com/ann-arbor-mi/737-packard
245,https://www.abodo.com/ann-arbor-mi/208-n-division
246,https://www.abodo.com/ann-arbor-mi/710-s-division-st
247,https://www.abodo.com/ann-arbor-mi/511-linden-st
248,https://www.abodo.com/ann-arbor-mi/302-e-madison-st
249,https://www.abodo.com/ann-arbor-mi/308-e-madison-st
250,https://www.abodo.com/ann-arbor-mi/510-lawrence-st-apt-4
251,https://www.abodo.com/ann-arbor-mi/812-mary-st
252,https://www.abodo.com/ann-arbor-mi/335-e-ann-st
253,https://www.abodo.com/ann-arbor-mi/1015-e-university-ave
254,https://www.abodo.com/ann-arbor-mi/809-sybil-st
255,https://www.abodo.com/ann-arbor-mi/418-lawrence-st-apt-2
256,https://www.abodo.com/ann-arbor-mi/727-packard-st
257,https://www.abodo.com/ann-arbor-mi/418-lawrence-st-apt-3
258,https://www.abodo.com/ann-arbor-mi/309-e-madison-st
259,https://www.abodo.com/ann-arbor-mi/1026-church-st
260,https://www.abodo.com/ann-arbor-mi/418-lawrence-st-apt-1
261,https://www.abodo.com/ann-arbor-mi/426-hill-st
262,https://www.abodo.com/ann-arbor-mi/510-lawrence-st-7
263,https://www.abodo.com/ann-arbor-mi/lawrence-st
264,https://www.abodo.com/ann-arbor-mi/909-mary
265,https://www.abodo.com/ann-arbor-mi/properties/3711741
266,https://www.abodo.com/ann-arbor-mi/731-packard
267,https://www.abodo.com/ann-arbor-mi/properties/3711728
268,https://www.abodo.com/ann-arbor-mi/727-packard
269,https://www.abodo.com/ann-arbor-mi/fritz-lofts-1014-church-st
270,https://www.abodo.com/ann-arbor-mi/422-e-kingsley
271,https://www.abodo.com/ann-arbor-mi/1130-oakland-ave
272,https://www.abodo.com/ann-arbor-mi/426-e-kingsley-st
273,https://www.abodo.com/ann-arbor-mi/527-s-4th-ave
274,https://www.abodo.com/ann-arbor-mi/558-s-fifth-ave
275,https://www.abodo.com/ann-arbor-mi/211-e-madison-st
276,https://www.abodo.com/ann-arbor-mi/201-e-madison-st
277,https://www.abodo.com/ann-arbor-mi/418-e-kingsley-st
278,https://www.abodo.com/ann-arbor-mi/541-s-4th-ave
279,https://www.abodo.com/ann-arbor-mi/215-e-madison-st
280,https://www.abodo.com/ann-arbor-mi/geddes-hill-apartments
281,https://www.abodo.com/ann-arbor-mi/1015-church-st
282,https://www.abodo.com/ann-arbor-mi/peppers-properties
283,https://www.abodo.com/ann-arbor-mi/properties/706847
284,https://www.abodo.com/ann-arbor-mi/915-oakland-ave-apt-1
285,https://www.abodo.com/ann-arbor-mi/1001-s-state-st
286,https://www.abodo.com/ann-arbor-mi/318-john-street
287,https://www.abodo.com/ann-arbor-mi/912-s-forest-ave
288,https://www.abodo.com/ann-arbor-mi/915-oakland-ave-apt-3
289,https://www.abodo.com/ann-arbor-mi/523-linden-st
290,https://www.abodo.com/ann-arbor-mi/425-hill
291,https://www.abodo.com/ann-arbor-mi/515-s-4th-ave
292,https://www.abodo.com/ann-arbor-mi/521-linden-st
293,https://www.abodo.com/ann-arbor-mi/514-e-kingsley-st-apt-2
294,https://www.abodo.com/ann-arbor-mi/401-lawrence-st-apt-3
295,https://www.abodo.com/ann-arbor-mi/921-mary-st-apt-4
296,https://www.abodo.com/ann-arbor-mi/414-lawrence-st-apt-4
297,https://www.abodo.com/ann-arbor-mi/516-s-4th-ave
298,https://www.abodo.com/ann-arbor-mi/518-s-4th-ave
299,https://www.abodo.com/ann-arbor-mi/911-sybil-st
300,https://www.abodo.com/ann-arbor-mi/properties/3107268
301,https://www.abodo.com/ann-arbor-mi/401-lawrence-st-apt-1
302,https://www.abodo.com/ann-arbor-mi/517-benjamin-st
303,https://www.abodo.com/ann-arbor-mi/328-catherine
304,https://www.abodo.com/ann-arbor-mi/414-lawrence-st-apt-5
305,https://www.abodo.com/ann-arbor-mi/915-oakland-ave-apt-1a
306,https://www.abodo.com/ann-arbor-mi/315-john-st
307,https://www.abodo.com/ann-arbor-mi/507-e-kingsley-st
308,https://www.abodo.com/ann-arbor-mi/e-kingsley-st
309,https://www.abodo.com/ann-arbor-mi/745-packard
310,https://www.abodo.com/ann-arbor-mi/1619-s-university
311,https://www.abodo.com/ann-arbor-mi/553-s-fourth-ave
312,https://www.abodo.com/ann-arbor-mi/551-s-fourth-ave
313,https://www.abodo.com/ann-arbor-mi/912-sybil-st
314,https://www.abodo.com/ann-arbor-mi/817-arch-st
315,https://www.abodo.com/ann-arbor-mi/536-s-4th-ave
316,https://www.abodo.com/ann-arbor-mi/512-s-4th-ave
317,https://www.abodo.com/ann-arbor-mi/908-sybil-st
318,https://www.abodo.com/ann-arbor-mi/1026-vaughn-st
319,https://www.abodo.com/ann-arbor-mi/529-elizabeth-st
320,https://www.abodo.com/ann-arbor-mi/properties/3016891
321,https://www.abodo.com/ann-arbor-mi/537-elizabeth-st
322,https://www.abodo.com/ann-arbor-mi/822-arch-st
323,https://www.abodo.com/ann-arbor-mi/the-dean
324,https://www.abodo.com/ann-arbor-mi/1028-church-st
325,https://www.abodo.com/ann-arbor-mi/1207-cambrige-ct
326,https://www.abodo.com/ann-arbor-mi/811-s-division-st
327,https://www.abodo.com/ann-arbor-mi/1107-prospect-ave
328,https://www.abodo.com/ann-arbor-mi/1109-s-state
329,https://www.abodo.com/ann-arbor-mi/properties/3107763
330,https://www.abodo.com/ann-arbor-mi/1015-vaughn
331,https://www.abodo.com/ann-arbor-mi/1015-s-state-st-apt-1
332,https://www.abodo.com/ann-arbor-mi/1032-church-st
333,https://www.abodo.com/ann-arbor-mi/1210-cambridge-ct
334,https://www.abodo.com/ann-arbor-mi/716-arch-st
335,https://www.abodo.com/ann-arbor-mi/1023-church-st
336,https://www.abodo.com/ann-arbor-mi/511-e-hoover-ave
337,https://www.abodo.com/ann-arbor-mi/930-mary-st
338,https://www.abodo.com/ann-arbor-mi/534-n-state-st
339,https://www.abodo.com/ann-arbor-mi/411-n-division-st
340,https://www.abodo.com/ann-arbor-mi/1023-church-st
341,https://www.abodo.com/ann-arbor-mi/1015-s-state-st-apt-2
342,https://www.abodo.com/ann-arbor-mi/410-benjamin-st-unit-2
343,https://www.abodo.com/ann-arbor-mi/1020-church-st
344,https://www.abodo.com/ann-arbor-mi/911-greenwood-ave
345,https://www.abodo.com/ann-arbor-mi/212-n-5th-ave
